WWTR1	"mirin,0.97537"	"ABT-751,0.96694"	"VU-0418934-2,0.95545"	"CYT-997,0.9551"	"MLN-4924,0.95036"	"nocodazole,0.94986"	"BRD-K66884694,0.94704"	"isoliquiritigenin,0.94438"	"MD-049,0.94428"	"alvespimycin,0.92944"	"mebendazole,0.92863"	"enzastaurin,0.92481"	"PKCbeta-inhibitor,0.92471"	"fluoropyruvate,0.92342"	"ST-056792,0.9223"	"chlorambucil,0.92193"	"BRD-K44366801,0.92044"	"BRD-K52321331,0.91657"	"BRD-A27640568,0.91505"	"cyclopiazonic-acid,0.90981"
ZFP161	"terfenadine,0.92639"	"BRD-K78062244,0.90809"	"BRD-A24021119,0.89265"	"triclosan,0.89083"	"BRD-K92317137,0.88685"	"PHA-665752,0.88116"	"BRD-K10484463,0.8811"	"BRD-A16820783,0.87981"	"glycodeoxycholic-acid,0.87233"	"BRD-A36275421,0.86485"	"iodophenpropit,0.86408"	"BRD-K14027855,0.85608"	"menadione,0.8513"	"BRD-K61717269,0.85032"	"BRD-K30381304,0.84747"	"methysergide,0.84625"	"wortmannin,0.84455"	"BRD-K58214070,0.84034"	"BMS-754807,0.83548"	"BRD-K60870698,0.83046"
ADORA2A	"WH-4023,0.95067"	"forskolin,0.93002"	"PP-1,0.92219"	"dasatinib,0.88541"	"forskolin,0.88335"	"BRD-K00954209,0.88334"	"colforsin,0.87769"	"BRD-K64304398,0.85753"	"atorvastatin,0.85057"	"saracatinib,0.84914"	"fostamatinib,0.84695"	"BRD-A94570195,0.82761"	"mefloquine,0.81657"	"WZ-3146,0.81321"	"tozasertib,0.81049"	"lovastatin,0.80754"	"PP-110,0.801"	"BRD-K64366758,0.7991"	"thioridazine,0.7946"	"BRD-K61105081,0.7938"
ASMTL	"mosapride,0.92663"	"OBAA,0.85385"	"oxindole-I,0.84966"	"biperiden,0.84695"	"nialamide,0.84515"	"JLK-6,0.84406"	"pitavastatin,0.84397"	"oxetane,0.8421"	"dactinomycin,0.83887"	"AZD-7762,0.82708"	"GR-127935,0.82562"	"ouabain,0.82357"	"MD-II-008-P,0.82029"	"K784-3188,0.81891"	"indirubin,0.81743"	"VU-0418947-2,0.81601"	"cefixime,0.81485"	"pirarubicin,0.81084"	"SKF-81297,0.80816"	"daunorubicin,0.79824"
BTG1	"mocimycin,0.91737"	"hinokitiol,0.90341"	"cyclopiazonic-acid,0.88081"	"fasudil,0.86023"	"BRD-K62459624,0.85451"	"cycloheximide,0.85181"	"clopidogrel,0.84615"	"remacemide,0.83604"	"tigecycline,0.83279"	"cycloheximide,0.83186"	"BRD-K05542495,0.83096"	"BRD-K78062244,0.8282"	"MDL-29951,0.82672"	"emetine,0.82587"	"avicin-d,0.82201"	"emetine,0.81091"	"BRD-K59556282,0.80958"	"GW-9508,0.79461"	"AT-9283,0.79236"	"avicin-g,0.78714"
GPR35	"BRD-K86574132,0.97434"	"cyclopiazonic-acid,0.96765"	"rottlerin,0.96696"	"malonoben,0.96056"	"KUC111774N,0.9575"	"fenretinide,0.95071"	"CGP-71683,0.95025"	"T-0901317,0.9481"	"AG-592,0.94786"	"DG-041,0.94217"	"BRD-K77547920,0.94137"	"IKK-2-inhibitor-V,0.93704"	"GP-42,0.93688"	"SA-792728,0.93656"	"NNC-55-0396,0.9339"	"niclosamide,0.93143"	"thiostrepton,0.9275"	"cucurbitacin-i,0.92565"	"CCCP,0.92485"	"CGK-733,0.92344"
IL13	"AZD-7762,0.80237"	"NVP-TAE684,0.7941"	"gemcitabine,0.7842"	"teniposide,0.73749"	"daunorubicin,0.71064"	"pitavastatin,0.70284"	"BRD-K68548958,0.69176"	"PD-0325901,0.6877"	"pregnenolone,0.68668"	"PI-828,0.68603"	"sorafenib,0.67695"	"BRD-K56411643,0.66673"	"pirarubicin,0.66528"	"cediranib,0.66035"	"MK-2206,0.65677"	"camptothecin,0.65233"	"MD-040,0.65165"	"AT-7519,0.64809"	"doxorubicin,0.64361"	"THM-I-94,0.64076"
PISD	"tosedostat,0.96657"	"CGK-733,0.95578"	"quiflapon,0.93894"	"COL-3,0.9354"	"KUC111774N,0.93106"	"oxetane,0.91748"	"BRD-K86574132,0.89693"	"staurosporine,0.88896"	"tigecycline,0.8888"	"thiazolopyrimidine,0.8767"	"BRD-K73261812,0.87531"	"FCCP,0.8727"	"BRD-A36275421,0.87145"	"KO-143,0.87012"	"pyrvinium-pamoate,0.84244"	"rottlerin,0.83317"	"CCCP,0.82176"	"artesunate,0.81812"	"malonoben,0.80591"	"staurosporine,0.79295"
RAB31	"mitotane,0.94272"	"zileuton,0.88745"	"tunicamycin,0.87407"	"FU-JMBII127B,0.8625"	"SJ-172550,0.85853"	"KU-C104254,0.8324"	"BRD-K19166598,0.82687"	"BRD-K03122949,0.82209"	"obatoclax,0.82036"	"CVF-SUMO-13,0.81493"	"BRD-K40758391,0.81116"	"necrostatin-1,0.80966"	"MLN-8054,0.80596"	"BRD-K61776140,0.80573"	"sitagliptin,0.80324"	"avrainvillamide-analog-2,0.80242"	"BRD-K45205755,0.80224"	"sirolimus,0.79971"	"iodoacetic-acid,0.79608"	"LFM-A13,0.79207"
TSC22D1	"oxetane,0.96123"	"clopidogrel,0.92076"	"staurosporine,0.88361"	"staurosporine,0.86935"	"cefixime,0.86304"	"KUC111774N,0.85516"	"paroxetine,0.84861"	"COL-3,0.84195"	"camptothecin,0.82141"	"RS-17053,0.81007"	"lestaurtinib,0.80594"	"BRD-K88278225,0.80405"	"tigecycline,0.80368"	"K784-3188,0.80108"	"afatinib,0.80064"	"BRD-K79222491,0.79839"	"CGK-733,0.78341"	"SKF-96365,0.78307"	"JNJ-7706621,0.78175"	"daunorubicin,0.78066"
TSPAN8	"mefenamic-acid,0.7961"	"purmorphamine,0.79465"	"BRD-K45205755,0.72793"	"clonidine,0.7223"	"BRD-K82732294,0.70627"	"YM-298198,0.70414"	"LY-288513,0.69986"	"estradiol,0.68676"	"mepacrine,0.68616"	"thioridazine,0.67152"	"fluoropyruvate,0.64255"	"BRD-K44417704,0.64093"	"retinol,0.63941"	"SB-203580,0.63563"	"LFM-A13,0.63445"	"BRD-K58618158,0.63245"	"BRD-K18726304,0.61679"	"orantinib,0.60632"	"linsitinib,0.59559"	"VU-0418939-2,0.57151"
ITGAE	"PD-198306,0.84587"	"BRD-K64366758,0.79092"	"NVP-AUY922,0.77564"	"erastin,0.76286"	"gossypol,0.75533"	"sorafenib,0.75269"	"DG-041,0.7382"	"alvespimycin,0.72222"	"MK-2206,0.68575"	"BRD-K33045404,0.68251"	"BRD-K18163752,0.68052"	"BRD-K97534490,0.67782"	"telmisartan,0.67213"	"brefeldin-a,0.65462"	"cyclopiazonic-acid,0.64665"	"SA-792728,0.64614"	"RS-23597-190,0.64556"	"DL-PDMP,0.64135"	"ispinesib,0.6346"	"AS-605240,0.63336"
MAP3K8	"ingenol,0.91825"	"dephostatin,0.91304"	"phorbol-12-myristate-13-acetate,0.91142"	"prostratin,0.90974"	"idarubicin,0.86539"	"CD-437,0.85916"	"wortmannin,0.85911"	"cycloheximide,0.85424"	"wortmannin,0.83933"	"BRD-K92317137,0.80686"	"amsacrine,0.80428"	"tyrphostin-AG-126,0.79513"	"tacrolimus,0.7915"	"JAK3-Inhibitor-II,0.78913"	"YM-155,0.78157"	"torin-2,0.78121"	"lovastatin,0.77852"	"dacinostat,0.77839"	"ryuvidine,0.76837"	"olaparib,0.76608"
MORF4L2	"AKT-inhibitor-1-2,0.8959"	"BRD-K85275009,0.89483"	"AS-601245,0.89296"	"pidorubicine,0.89125"	"sulpiride,0.87259"	"RO-90-7501,0.8446"	"PI-103,0.82421"	"BRD-K68548958,0.81723"	"SU-11652,0.80579"	"remacemide,0.80006"	"daunorubicin,0.78897"	"olvanil,0.7839"	"curcumin,0.77316"	"BRD-K84924563,0.76125"	"mitoxantrone,0.76118"	"alvocidib,0.75584"	"mocetinostat,0.75271"	"PSB-06126,0.74596"	"methylene-blue,0.74489"	"BRD-K05649647,0.74028"
NDRG1	"JAK3-Inhibitor-II,0.91547"	"ouabain,0.90997"	"triacsin-c,0.89882"	"resveratrol,0.89579"	"BRD-K84106030,0.87309"	"SKF-86002,0.85945"	"dephostatin,0.83742"	"flutamide,0.83424"	"RS-39604,0.83105"	"strophanthidin,0.81811"	"7-nitroindazole,0.8174"	"BRD-K84762162,0.8167"	"bisacodyl,0.81557"	"testosterone,0.81097"	"digitoxin,0.80648"	"ryuvidine,0.80549"	"SA-424577,0.79583"	"JWE-035,0.78203"	"dacinostat,0.77918"	"BRD-K85275009,0.77636"
RORC	"piperlongumine,0.97035"	"BRD-K32944375,0.95591"	"XMD-16144,0.93948"	"GP-42,0.93293"	"MD-II-008-P,0.93178"	"trichostatin-a,0.92646"	"PP-110,0.92615"	"belinostat,0.92477"	"sorafenib,0.91635"	"THM-I-94,0.90762"	"BRD-K60870698,0.90744"	"tivozanib,0.90555"	"MD-II-051,0.8981"	"BRD-K92317137,0.89095"	"BMS-536924,0.88839"	"BRD-A43155244,0.88839"	"dacinostat,0.88053"	"idarubicin,0.88027"	"BCI-hydrochloride,0.8775"	"VU-0410183-2,0.87705"
SPIC	"BRD-A18411371,0.90404"	"trichostatin-a,0.8558"	"scriptaid,0.84982"	"BRD-U86222656,0.83034"	"THM-I-94,0.81764"	"KU-C104337,0.814"	"BRD-A18725729,0.81133"	"BG-FA-0953,0.80541"	"bisindolylmaleimide,0.76983"	"PD-102807,0.76839"	"doxorubicin,0.75941"	"belinostat,0.75626"	"BRD-K58479490,0.75549"	"HC-toxin,0.74955"	"dacinostat,0.74845"	"sorafenib,0.74742"	"vorinostat,0.74695"	"methylene-blue,0.73978"	"KM-00927,0.73948"	"cucurbitacin-i,0.73903"
MBNL2	"BRD-K89451433,0.90893"	"7b-cis,0.88521"	"FK-888,0.83338"	"PD-98059,0.82937"	"necrostatin-1,0.78777"	"danazol,0.7726"	"PCA-4248,0.772"	"BRD-K82092559,0.7699"	"SIB-1893,0.76803"	"chlortalidone,0.73278"	"resveratrol,0.72699"	"flutamide,0.72422"	"prednisolone,0.7209"	"BRD-K02562327,0.71429"	"KUC111774N,0.70437"	"BRD-K33045404,0.69304"	"apigenin,0.69009"	"PPT,0.6883"	"PIK-90,0.6882"	"lovastatin,0.68574"
SNAI3	"H-8,0.93457"	"NU-7026,0.91787"	"BNTX,0.90718"	"AMG-9810,0.90627"	"diclofenac,0.89911"	"HSP90-inhibitor,0.89486"	"BRD-K68548958,0.89113"	"homoharringtonine,0.88915"	"BRD-K59019422,0.88904"	"testosterone,0.88886"	"BRD-K52321331,0.87908"	"devazepide,0.87766"	"EMF-sumo1-39,0.87496"	"raltitrexed,0.8717"	"BRD-K58479490,0.87003"	"BRD-K94991378,0.86496"	"cyproheptadine,0.86307"	"BO2-inhibits-RAD51,0.86225"	"JLK-6,0.8611"	"FTase-inhibitor-B581,0.86014"
MED7	"ouabain,0.74919"	"methylene-blue,0.74574"	"CD-1530,0.74272"	"YM-155,0.74271"	"SB-590885,0.74032"	"mosapride,0.73986"	"diclofenac,0.73966"	"pidorubicine,0.72229"	"selamectin,0.70679"	"sulpiride,0.7038"	"VU-0415113-1,0.70225"	"idarubicin,0.6764"	"RO-90-7501,0.66257"	"F-1566-0341,0.65985"	"phorbol-12-myristate-13-acetate,0.65791"	"BRD-K44366801,0.65564"	"BRD-K06217810,0.64635"	"dephostatin,0.64358"	"BRD-K85266146,0.63972"	"palbociclib,0.63896"
ADRB2	"prostaglandin-a1,0.89952"	"PP-1,0.87037"	"WH-4023,0.86602"	"saracatinib,0.86063"	"BRD-K35638681,0.84002"	"PP-110,0.82655"	"dasatinib,0.82194"	"verapamil,0.79054"	"7b-cis,0.78593"	"BRD-K64835161,0.7843"	"BRD-A68061604,0.74613"	"AZ-628,0.71538"	"BO2-inhibits-RAD51,0.71136"	"colforsin,0.7086"	"GSK-1070916,0.70474"	"BRD-K18861610,0.70239"	"NVP-AUY922,0.6946"	"PD-98059,0.69274"	"tozasertib,0.67636"	"inhibitor-BEC,0.67504"
ANKRD49	"BRD-K85275009,0.94337"	"erismodegib,0.93966"	"BMS-299897,0.89421"	"gemcitabine,0.89347"	"BRD-K90999434,0.88463"	"BRD-K84924563,0.87299"	"fostamatinib,0.8686"	"BRD-K35716340,0.86461"	"tipifarnib-P2,0.86321"	"rimcazole,0.8631"	"APO-866,0.85863"	"UK-356618,0.84275"	"AKT-inhibitor-1-2,0.8234"	"MLN-2238,0.81842"	"HLI-373,0.81776"	"acyclovir,0.81317"	"remacemide,0.80804"	"hydrocortisone,0.80656"	"BRD-K67742177,0.80488"	"BRD-K68007270,0.7981"
CAMLG	"capsaicin,0.85959"	"ABT-737,0.84758"	"rilmenidine,0.83956"	"malonoben,0.81476"	"devazepide,0.81347"	"kinetin-riboside,0.80119"	"olaparib,0.76639"	"LFM-A13,0.76352"	"BRD-K40758391,0.76107"	"etacrynic-acid,0.75381"	"CHEMBL-374350,0.73634"	"BRD-K84421793,0.73172"	"BRD-K23149109,0.72243"	"blebbistatin,0.7207"	"budesonide,0.70437"	"glibenclamide,0.70067"	"penfluridol,0.69679"	"erastin,0.68863"	"tyrphostin-A9,0.68821"	"ingenol,0.68275"
CCND3	"BRD-K84924563,0.96276"	"BRD-K85275009,0.92415"	"minoxidil,0.90463"	"BRD-K00313977,0.88899"	"proadifen,0.88494"	"pyrvinium-pamoate,0.87746"	"HLI-373,0.87031"	"sulpiride,0.86712"	"BRD-K67778494,0.86677"	"amoxicillin,0.85632"	"amodiaquine,0.85507"	"SQ-22536,0.8472"	"APO-866,0.84614"	"hydrocortisone,0.84523"	"clofarabine,0.84339"	"TWS-119,0.84271"	"BRD-K74318028,0.83995"	"erismodegib,0.83907"	"BRD-K15640888,0.83604"	"BRD-K18726304,0.83549"
CDKN1A	"7b-cis,0.95944"	"CCCP,0.95241"	"selamectin,0.94259"	"BRD-K95196255,0.94183"	"BMS-754807,0.93528"	"trichostatin-a,0.93487"	"PD-198306,0.93252"	"quiflapon,0.93248"	"BRD-K78385490,0.93122"	"purvalanol-a,0.92917"	"CGK-733,0.92696"	"CD-437,0.92607"	"valdecoxib,0.92537"	"aminopurvalanol-a,0.92404"	"idarubicin,0.92294"	"COL-3,0.92103"	"BRD-K05153001,0.92098"	"suloctidil,0.91717"	"TW-37,0.91597"	"KB-R7943,0.9156"
CDX2	"trichostatin-a,0.97142"	"THM-I-94,0.96419"	"piperlongumine,0.95935"	"TG-101348,0.95382"	"BRD-K40329609,0.95131"	"vorinostat,0.94786"	"BRD-K30351863,0.94484"	"BRD-K24156250,0.94459"	"BRD-K10361096,0.94372"	"BRD-A68065211,0.94153"	"cucurbitacin-i,0.94118"	"BRD-A58924247,0.94059"	"VU-0418947-2,0.94003"	"BRD-K83694683,0.93705"	"trichostatin-a,0.93496"	"MD-II-008-P,0.93423"	"SN-38,0.93331"	"belinostat,0.93141"	"arachidonyl-trifluoro-methane,0.93077"	"merck-ketone,0.92501"
CHRAC1	"BRD-A41114263,0.94321"	"carbinoxamine,0.91648"	"testosterone,0.90442"	"resorcinol,0.89151"	"LFM-A13,0.88861"	"loxapine,0.87954"	"verapamil,0.87185"	"fluoropyruvate,0.87113"	"BRD-K40758391,0.85215"	"BRD-K23149109,0.85094"	"AC-55649,0.8467"	"sulforaphane,0.84202"	"orantinib,0.83862"	"hyperforin,0.83653"	"PT-630,0.8324"	"kinetin-riboside,0.82453"	"erastin,0.82283"	"quinidine,0.82261"	"BRD-K92980438,0.81442"	"doxepin,0.80395"
ECSIT	"clopidogrel,0.85247"	"curcumin,0.84056"	"BRD-K18861610,0.83001"	"camptothecin,0.82212"	"gemcitabine,0.78745"	"avicin-g,0.77557"	"AS-601245,0.77233"	"BRD-K88278225,0.77026"	"sulconazole,0.75752"	"BG-FA-0953,0.75363"	"ezetimibe,0.75206"	"BRD-K30381304,0.7495"	"BRD-K08307026,0.74709"	"BRD-A58924247,0.74396"	"methylene-blue,0.73587"	"K784-3188,0.73563"	"BRD-K68313733,0.73317"	"pipamperone,0.73281"	"afatinib,0.73133"	"KUC111774N,0.72392"
EIF4EBP2	"oxetane,0.95327"	"cephaeline,0.93062"	"KUC111774N,0.92718"	"homoharringtonine,0.9196"	"emetine,0.91939"	"avicin-g,0.91671"	"ST-4029573,0.90856"	"YM-155,0.90798"	"staurosporine,0.90386"	"COL-3,0.90285"	"emetine,0.89078"	"narciclasine,0.88828"	"calyculin,0.88351"	"homoharringtonine,0.87994"	"cucurbitacin-i,0.87676"	"cefixime,0.87285"	"staurosporine,0.87224"	"verrucarin-a,0.87181"	"manumycin-a,0.86506"	"auranofin,0.86287"
ELK1	"oxetane,0.91319"	"MD-II-038,0.89807"	"perhexiline,0.86918"	"piperlongumine,0.86713"	"pifithrin-mu,0.8573"	"BRD-A37735495,0.85626"	"NSC-632839,0.85492"	"BRD-A36275421,0.84594"	"bortezomib,0.84209"	"NSC-632839,0.83602"	"MD-II-051,0.83032"	"CT-200783,0.82344"	"proscillaridin,0.80846"	"BRD-A68065211,0.80422"	"BNTX,0.79515"	"JLK-6,0.78625"	"cucurbitacin-i,0.78172"	"SU-11652,0.77634"	"penfluridol,0.77447"	"ST-056792,0.77325"
FBXW7	"BRD-K35716340,0.93446"	"calyculin,0.88819"	"genipin,0.87223"	"fluspirilene,0.84894"	"BRD-K85275009,0.84506"	"GDC-0941,0.84136"	"7b-cis,0.83169"	"avrainvillamide-analog-5,0.8316"	"MK-2206,0.83094"	"BMS-299897,0.83011"	"remacemide,0.81447"	"acyclovir,0.81277"	"PI-103,0.80468"	"AKT-inhibitor-1-2,0.80131"	"sulpiride,0.80126"	"oxetane,0.79769"	"tert-butylhydroquinone,0.79551"	"wortmannin,0.77708"	"GSK-461364,0.77665"	"HLI-373,0.77494"
FIS1	"artesunate,0.91615"	"cucurbitacin-i,0.90573"	"BRD-K77547920,0.90075"	"KO-143,0.87134"	"BRD-A37735495,0.86591"	"SU-11652,0.85432"	"BRD-K44366801,0.85259"	"quiflapon,0.85069"	"ursolic-acid,0.84154"	"BRD-A36275421,0.83621"	"LE-135,0.83498"	"cytochalasin-b,0.83312"	"CD-437,0.82922"	"COT-10b,0.82338"	"selamectin,0.82208"	"SCH-79797,0.82054"	"BRD-A68065211,0.81427"	"niclosamide,0.81317"	"tyrphostin-A9,0.81275"	"KM-03949SC,0.81159"
FOSL1	"pindolol,0.94345"	"pyrrolidine-dithiocarbamate,0.92467"	"BRD-K28366633,0.89488"	"amsacrine,0.89266"	"BRD-K00313977,0.88433"	"SA-792709,0.88139"	"BRD-K03829970,0.87767"	"manumycin-a,0.87754"	"manumycin-a,0.87112"	"15-delta-prostaglandin-j2,0.86772"	"BRD-K05331696,0.84835"	"elesclomol,0.84369"	"CHEMBL-1222381,0.84292"	"SA-1447005,0.82974"	"BRD-A68065211,0.8268"	"SN-38,0.82643"	"EMF-bca1-16,0.82577"	"GP-42,0.82069"	"RS-I-002-6,0.81785"	"irinotecan,0.81616"
GMEB1	"avicin-g,0.97719"	"oxetane,0.94559"	"KUC111774N,0.94118"	"NSC-632839,0.93466"	"YM-155,0.92584"	"cucurbitacin-i,0.92255"	"arachidonyl-trifluoro-methane,0.92218"	"BRD-A36275421,0.91855"	"manumycin-a,0.91447"	"NSC-3852,0.9076"	"piperlongumine,0.89359"	"MLN-2238,0.88921"	"importazole,0.87507"	"BRD-K92317137,0.87246"	"aminopurvalanol-a,0.86764"	"BRD-K56411643,0.86653"	"purvalanol-a,0.86167"	"puromycin,0.85716"	"penfluridol,0.85683"	"COL-3,0.85373"
GRK6	"tretinoin,0.92551"	"BRD-K09661167,0.91317"	"forskolin,0.90356"	"CVF-SUMO-13,0.88888"	"MD-II-038,0.88409"	"moxonidine,0.87687"	"fluspirilene,0.87549"	"methoxsalen,0.87237"	"parthenolide,0.8707"	"BRD-K87726525,0.86758"	"BRD-K32944375,0.86633"	"amoxicillin,0.86423"	"MD-041,0.84871"	"RAN-07,0.84837"	"triptolide,0.84182"	"7b-cis,0.83921"	"nortriptyline,0.82995"	"mepacrine,0.82383"	"TG-101348,0.82264"	"BRD-K58618158,0.82215"
GTF2B	"azasetron,0.87729"	"AZ-628,0.8431"	"BRD-K96167523,0.83621"	"lenalidomide,0.79123"	"dacinostat,0.79036"	"trichostatin-a,0.72855"	"BRD-K76938712,0.7275"	"KM-00927,0.71584"	"vorinostat,0.70213"	"atorvastatin,0.70133"	"AS-605240,0.69835"	"PD-0325901,0.69571"	"trichostatin-a,0.68179"	"cytochalasin-d,0.66918"	"RS-39604,0.65016"	"WZ-3146,0.64383"	"CI-976,0.63928"	"toremifene,0.63901"	"THM-I-94,0.63881"	"eriodictyol,0.63806"
HLF	"CD-437,0.96498"	"cucurbitacin-i,0.93864"	"cucurbitacin-i,0.93293"	"niclosamide,0.93066"	"penfluridol,0.91196"	"CHEMBL-399379,0.90682"	"rhodomyrtoxin-b,0.90515"	"pyrvinium-pamoate,0.89551"	"perhexiline,0.89476"	"selamectin,0.89092"	"FCCP,0.89027"	"phorbol-12-myristate-13-acetate,0.8902"	"IKK-2-inhibitor-V,0.88911"	"COT-10b,0.88369"	"CCCP,0.88126"	"BRD-A09719808,0.88054"	"bortezomib,0.871"	"DG-041,0.87022"	"CGP-71683,0.86618"	"MK-2206,0.86442"
HOXA5	"prostratin,0.94982"	"cucurbitacin-i,0.94834"	"SN-38,0.93099"	"importazole,0.92243"	"BRD-K78385490,0.921"	"BRD-K60870698,0.90797"	"BRD-K92317137,0.90669"	"irinotecan,0.90483"	"amsacrine,0.90097"	"ingenol,0.89929"	"teniposide,0.89744"	"bortezomib,0.89533"	"SB-218078,0.89301"	"pyrvinium-pamoate,0.89006"	"puromycin,0.88795"	"KI-8751,0.88188"	"IKK-2-inhibitor-V,0.88085"	"niclosamide,0.88058"	"COT-10b,0.87707"	"avrainvillamide-analog-4,0.86471"
HOXB7	"brazilin,0.93726"	"BO2-inhibits-RAD51,0.90678"	"JAK3-inhibitor-VI,0.86446"	"MST-312,0.8552"	"trichostatin-a,0.8517"	"SB-218078,0.84923"	"elesclomol,0.83881"	"RO-90-7501,0.83863"	"manumycin-a,0.83831"	"cucurbitacin-i,0.8381"	"thiostrepton,0.83646"	"trichostatin-a,0.83334"	"THM-I-94,0.83108"	"scriptaid,0.82418"	"BRD-K60870698,0.82264"	"NSC-3852,0.81992"	"vorinostat,0.81785"	"pyrvinium-pamoate,0.81747"	"sorafenib,0.81228"	"importazole,0.81101"
IGFBP5	"MK-2206,0.95609"	"OSI-027,0.91966"	"PP-110,0.91574"	"oxetane,0.91444"	"avicin-g,0.91215"	"KUC111774N,0.87612"	"torin-1,0.87291"	"everolimus,0.86519"	"PI-828,0.85556"	"TGX-115,0.85272"	"BRD-K62459624,0.84795"	"SID-26681509,0.84123"	"BRD-K55896799,0.84088"	"COL-3,0.83781"	"AKT-inhibitor-1-2,0.83669"	"crizotinib,0.82751"	"tretinoin,0.82052"	"BRD-A18725729,0.81766"	"dactinomycin,0.81641"	"staurosporine,0.81333"
MNAT1	"BRD-K23841751,0.9236"	"BRD-K84924563,0.91784"	"benzylpenicillin,0.90118"	"erismodegib,0.89061"	"KU-C104137,0.88828"	"BRD-K75999307,0.88193"	"BRD-K06592610,0.87473"	"BRD-K04156788,0.87094"	"PF-04217903,0.86827"	"loperamide,0.86516"	"BRD-K61001510,0.86037"	"EI-273,0.85502"	"BRD-K95337198,0.8471"	"hydrocortisone,0.84665"	"RG-108,0.84168"	"apigenin,0.83107"	"XL-147,0.82238"	"tenofovir,0.82132"	"dacinostat,0.82095"	"MW-A1-12,0.82004"
NEK6	"SU-11652,0.96928"	"SN-38,0.95859"	"CD-437,0.93304"	"BRD-K55844427,0.92809"	"teniposide,0.90362"	"amsacrine,0.90258"	"digitoxin,0.89988"	"JNJ-7706621,0.88529"	"ingenol,0.88411"	"prostratin,0.88284"	"KI-8751,0.88256"	"BRD-K30381304,0.87921"	"KUC111774N,0.87544"	"cucurbitacin-i,0.86062"	"IKK-16,0.86001"	"BRD-K90446130,0.85948"	"selamectin,0.85684"	"JAK3-inhibitor-VI,0.85417"	"idarubicin,0.85196"	"penfluridol,0.84929"
NFIB	"MD-II-008-P,0.91118"	"sappanone-a,0.90594"	"cerulenin,0.89904"	"15-delta-prostaglandin-j2,0.89522"	"curcumin,0.88719"	"CT-200783,0.88554"	"BRD-K62466453,0.88028"	"QS-11,0.87436"	"oxetane,0.86045"	"BRD-K77547920,0.85748"	"MLN-4924,0.85175"	"KF-38789,0.84684"	"BRD-K44366801,0.84679"	"MLN-2238,0.84126"	"BRD-K92317137,0.8369"	"STK-249718,0.83521"	"JLK-6,0.83226"	"15-delta-prostaglandin-j2,0.8274"	"avrainvillamide-analog-4,0.82562"	"piperlongumine,0.82399"
NME1	"berbamine,0.73643"	"disulfiram,0.72551"	"genipin,0.72097"	"SA-792728,0.71197"	"PF-04217903,0.69368"	"carbamazepine,0.69359"	"I-070759,0.67675"	"profenamine,0.66882"	"diclofenac,0.6684"	"BRD-K89224880,0.66385"	"BRD-K83816656,0.66306"	"HLI-373,0.66104"	"pitavastatin,0.66103"	"amodiaquine,0.65659"	"alvespimycin,0.65508"	"curcumin,0.6505"	"BAY-K8644,0.64679"	"apigenin,0.64537"	"BRD-K16472144,0.64182"	"crizotinib,0.63694"
PAQR7	"KIN001-127,0.91415"	"verapamil,0.89879"	"BRD-K21001652,0.89032"	"curcumin,0.86901"	"promazine,0.86089"	"ivachtin,0.84624"	"pindolol,0.83237"	"chlormadinone,0.81597"	"BRD-A68061604,0.81143"	"AC-55649,0.80269"	"malonoben,0.79771"	"prostaglandin-a1,0.79003"	"SA-425500,0.78565"	"chlortalidone,0.78242"	"BO2-inhibits-RAD51,0.78083"	"estradiol,0.7766"	"BRD-K61053657,0.77628"	"cyclopentene,0.77229"	"WYE-354,0.76198"	"CP-724714,0.75399"
PHB	"selamectin,0.99055"	"CCCP,0.98196"	"penfluridol,0.97921"	"CGK-733,0.97798"	"AG-879,0.97659"	"COL-3,0.97647"	"IKK-2-inhibitor-V,0.97486"	"tigecycline,0.97261"	"BRD-K05153001,0.97245"	"bithionol,0.97244"	"KO-143,0.96964"	"rhodomyrtoxin-b,0.96859"	"quiflapon,0.96838"	"nonoxynol-9,0.96819"	"niclosamide,0.96621"	"thiazolopyrimidine,0.96434"	"RJC-00245SC,0.9634"	"BRD-K08448573,0.96283"	"malonoben,0.96246"	"AG-592,0.96206"
PITPNA	"loxapine,0.95353"	"BRD-K42644990,0.90861"	"carbinoxamine,0.90276"	"BRD-K23149109,0.86755"	"mefenamic-acid,0.85573"	"BAS-09104376,0.83952"	"n-(3-acetamidophenyl)-3-chlorobenzamide,0.83458"	"erythromycin,0.83328"	"RS-23597-190,0.83135"	"budesonide,0.82732"	"ABT-737,0.82062"	"quinidine,0.81983"	"BRD-A09984573,0.81672"	"LFM-A13,0.81345"	"fluoropyruvate,0.81205"	"proadifen,0.8059"	"AC-55649,0.8039"	"bosutinib,0.80367"	"BMS-641988,0.80029"	"BRD-K15107389,0.79916"
QPRT	"hydrocortisone,0.98692"	"BRD-K85275009,0.98241"	"BRD-K84924563,0.9707"	"BRD-K67778494,0.96641"	"etodolac,0.95839"	"benzylpenicillin,0.95621"	"BRD-K35716340,0.95316"	"fludrocortisone,0.95214"	"RG-108,0.94741"	"rimcazole,0.94547"	"fluocinolone,0.94171"	"fluspirilene,0.93995"	"KU-C104137,0.93988"	"pitavastatin,0.93417"	"genipin,0.93146"	"BRD-K82594686,0.92759"	"pepstatin,0.92738"	"gemcitabine,0.92371"	"erismodegib,0.91841"	"BMS-299897,0.91454"
